,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
126,1,59,4,4,7,7,6,4,4
127,1,60,2,2,2,2,2,1,1
128,1,62,3,3,2,2,1,1,0
129,1,63,6,6,29,29,26,24,16
130,1,64,7,7,64,64,44,25,6
131,1,65,5,5,4,4,1,0,0
132,1,66,4,4,6,6,5,2,2
133,1,67,6,6,65,65,61,50,24
134,1,68,3,3,7,7,6,6,4
135,1,69,4,4,19,19,18,14,14
136,1,70,4,4,4,4,3,1,1
137,1,71,2,2,2,2,2,1,1
138,1,72,4,4,7,7,6,4,4
139,1,73,5,5,12,12,8,2,2
140,1,74,1,1,1,1,1,1,1
141,1,75,5,5,4,4,1,0,0
142,1,77,5,5,23,23,20,18,18
143,1,78,3,3,5,5,4,4,2
144,1,79,8,8,27,27,22,4,4
145,1,80,4,4,18,18,17,14,14
146,1,81,5,5,6,6,2,0,0
147,1,82,7,7,64,64,44,25,6
148,1,83,7,7,65,65,50,24,4
149,1,84,1,1,1,1,1,1,1
150,1,87,4,4,13,13,12,10,10
151,1,88,5,5,34,34,28,19,19
152,1,89,5,5,15,15,10,6,6
153,1,90,3,3,5,5,4,4,2
154,1,91,6,6,64,64,57,44,25
155,1,93,5,5,7,7,4,2,2
156,1,94,6,6,65,65,61,50,24
157,1,95,7,7,27,27,22,14,4
158,1,96,3,3,2,2,1,1,0
159,1,97,3,3,2,2,1,1,0
160,1,98,4,4,19,19,18,13,13
161,2,5,2,2,2,2,2,1,1
162,2,6,4,4,3,3,2,0,0
163,2,7,3,3,2,2,1,1,0
164,2,8,4,4,15,15,14,11,11
165,2,9,4,4,8,8,7,3,3
166,2,11,1,1,1,1,1,1,1
167,2,12,5,5,3,3,1,0,0
168,2,14,5,5,1,1,0,0,0
169,2,15,4,4,3,3,2,1,1
170,2,16,4,4,2,2,1,0,0
171,2,17,2,2,1,1,1,0,0
172,2,18,3,3,3,3,2,2,1
173,2,19,3,3,1,1,0,0,0
174,2,20,5,5,8,8,5,2,2
175,2,22,5,5,11,11,9,8,8
176,2,23,3,3,1,1,0,0,0
177,2,24,3,3,1,1,0,0,0
178,2,26,5,5,15,15,9,3,3
179,2,27,4,4,9,9,8,5,5
180,2,28,6,6,8,8,5,2,0
181,2,30,4,4,10,10,9,8,8
182,2,31,4,4,1,1,0,0,0
183,2,32,6,6,8,8,3,0,0
184,2,33,3,3,1,1,0,0,0
185,2,34,5,5,21,21,18,16,16
186,2,35,5,5,9,9,5,2,2
187,2,36,2,2,1,1,1,0,0
188,2,38,4,4,1,1,0,0,0
189,2,39,2,2,1,1,1,0,0
190,2,40,2,2,2,2,2,1,1
191,2,41,1,1,1,1,1,1,1
192,2,42,3,3,1,1,0,0,0
193,2,43,7,7,8,8,2,0,0
194,2,44,2,2,1,1,1,0,0
195,2,45,5,5,14,14,12,11,11
